id,quoteDetailId,createdAt,updatedAt,deletedAt,underlyingPolicyLimit,attachmentPoint
da7c99ae-4e8d-4c25-b54c-e66968ca8a35,daa541e2-772b-44e0-a1f2-0b1aa91a58f7,2022-02-28T18:32:49.802,2022-02-28T19:40:03.139,,5000000,6000000
bdd67251-45a1-4c07-9215-09d75f50a356,8aea89cb-98ee-49b0-a09a-980df405c8e9,2022-02-28T23:16:38.596,2022-02-28T23:16:38.603,,5000000,6000000
81b72b01-96ac-4f13-888b-2b88e8aa765b,717b71ce-d33c-42a5-8ca5-96af1d20b787,2022-03-01T00:18:56.918,2022-03-01T00:19:11,,5000000,6000000
1b850a3a-212e-4010-814c-53eb03e41b1f,e43a8b29-badb-4a78-9641-68d4271081b2,2022-03-01T00:29:24.614,2022-03-01T01:32:40.223,,5000000,6000000
3b7c7e1d-a550-419a-8b38-cc2c85528538,a41478d1-57eb-43a2-9cb7-056bf80f01b7,2022-03-01T18:06:25.405,2022-03-01T18:06:25.405,,,
1d1468db-4088-4d8e-816d-85390be2c1be,bcd7f0be-6f8a-4aaf-99fb-0af8fca5ff6b,2022-03-01T19:25:02.939,2022-03-01T19:25:02.939,,,
ab91488a-4eef-4e2d-a3f6-fc184c2a2094,675f20a7-ce1a-455a-b055-01a0ad19a39a,2022-03-01T21:25:10.489,2022-03-01T21:25:10.49,,,
0d99871e-fb7b-46ef-9772-ee0f8ed963cc,4b9a672e-e79e-4951-a693-e74cd4deffc0,2022-03-01T22:25:59.442,2022-03-01T22:25:59.443,,,
b761b47d-4d9a-4e96-9610-040e05c2709d,0fbe3d33-059d-4665-b62c-27c11775b749,2022-03-08T22:38:20.526,2022-03-08T22:39:49.251,,1.00E+07,1.50E+07
3138786f-eeb0-4f23-aff8-91d0d8c28105,b1d11fe9-8bd9-418c-aae6-5a9791b8c784,2022-03-02T17:00:17.601,2022-03-08T22:58:54.246,,2000000,2000000
f067863d-5b32-4ca7-a035-6567aa60a577,62d58f28-40ce-4f5a-acfb-29fc4f606c4d,2022-03-09T00:39:59.24,2022-03-09T00:39:59.253,,1.00E+07,1.20E+07
b923242c-2be7-41ec-82ab-42e5b8d83bc2,d4fc5d9f-2513-4841-b351-7560035f7b31,2022-03-09T01:24:18.624,2022-03-09T01:24:18.64,,1.00E+07,1.20E+07
977085d8-0790-4d3d-bfb3-070def12fbe7,c6a32fa3-469b-4ae9-ae21-b0298a893aaf,2022-03-14T22:47:07.393,2022-03-14T22:47:07.426,,2000000,2000000
71aafa30-0ecf-43dd-8e01-6586ed1a3dbe,dea4efbc-7812-46e0-b1a6-b752427ce78f,2022-03-09T02:01:02.018,2022-03-09T02:01:02.044,,1.00E+07,1.20E+07
b8df1161-8b83-4469-b65c-f50ee405d86a,66202564-6bea-432c-ae8d-4492c5216ef8,2022-03-02T02:25:36.967,2022-03-02T04:12:24.071,,1.00E+07,1.60E+07
7adb537e-4307-4b98-acbc-42329697d9f9,344fd2dc-f296-4fe6-b2ae-127df5929184,2022-03-02T04:15:35.108,2022-03-02T04:15:35.115,,1.00E+07,1.60E+07
a6f5c785-33c5-4a49-9a8e-93f3b18efd4b,6434e792-8a1b-448a-999e-1793ff34f004,2022-03-02T04:19:56.111,2022-03-02T04:19:56.12,,1.00E+07,1.60E+07
c0c7625e-2722-44d4-9be0-ef6b359f2d69,f5bbaea3-48b9-4aa1-a5c6-e78eec9b8ee1,2022-03-02T04:21:30.33,2022-03-02T04:21:30.34,,1.00E+07,1.60E+07
cf5b1b57-5290-43b1-bb1a-fd99f7066030,34002c42-c026-4e38-bfbf-c406afa0d4b8,2022-02-28T21:56:01.697,2022-03-02T04:34:39.488,,2000000,5000000
92d22aa3-9e97-4ea3-9820-9a7c1209cb2f,3163da21-3cf4-4f0a-a115-0967b7e10f4c,2022-03-02T04:46:17.757,2022-03-02T04:46:17.768,,1.00E+07,1.60E+07
24788e13-a4e7-4126-bd37-cc1e4c45de30,5f3a7867-948a-4512-acdb-1ad2a7c404e6,2022-03-02T14:08:17.497,2022-03-02T14:08:17.498,,,
92f67a35-fdb7-4e56-b4e9-97daf05da8a4,bc0cca05-860f-4eb8-a119-f52a0fc43fcd,2022-03-02T18:04:06.579,2022-03-02T18:04:06.589,,1.00E+07,1.60E+07
69f07c4b-81e4-4346-af0b-b9511c257a4c,83e08bec-0365-4034-a795-d835c0e5be04,2022-03-09T04:06:27.06,2022-03-09T04:31:49.859,,2000000,2000000
19403cb6-cc2d-49e5-8fdd-190637b99c34,f569b85b-d708-4113-a475-e6988ef5f0a7,2022-03-03T22:01:51.707,2022-03-03T22:01:51.707,,,
63bcc026-7f6a-4d22-bd24-46a090044ed2,6083755d-acf1-4632-897e-660aeda80266,2022-03-03T23:17:53.025,2022-03-03T23:21:25.807,,2000000,2000000
